FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_1,District
0,31,39,835841,31039,Cuming,Cuming County,6,H1,G4020, , , ,A,1477652222,10690952,41.9158651,-96.7885168,31039,10
1,53,69,1513275,53069,Wahkiakum,Wahkiakum County,6,H1,G4020, , , ,A,680956809,61588406,46.2946377,-123.4244583,53069,12
2,35,11,933054,35011,De Baca,De Baca County,6,H1,G4020, , , ,A,6016819484,29089486,34.3592729,-104.3686961,35011,11
3,31,109,835876,31109,Lancaster,Lancaster County,6,H1,G4020,339,30700, ,A,2169287528,22832516,40.7835474,-96.6886584,31109,10
4,31,129,835886,31129,Nuckolls,Nuckolls County,6,H1,G4020, , , ,A,1489645187,1718484,40.1764918,-98.0468422,31129,10
5,72,85,1804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980, ,A,87748364,32509,18.1871483,-65.871189,72085,2
6,46,99,1265772,46099,Minnehaha,Minnehaha County,6,H1,G4020, ,43620, ,A,2089691730,18198496,43.6674723,-96.7957261,46099,9
7,48,327,1383949,48327,Menard,Menard County,6,H1,G4020, , , ,A,2336237985,613559,30.8852677,-99.8588613,48327,11
8,6,91,277310,6091,Sierra,Sierra County,6,H1,G4020, , , ,A,2468694587,23299110,39.5769252,-120.5219926,6091,12
9,21,53,516873,21053,Clinton,Clinton County,6,H1,G4020, , , ,A,510875184,21153253,36.7272577,-85.1360977,21053,8
10,39,63,1074044,39063,Hancock,Hancock County,6,H1,G4020,248,22300, ,A,1376094842,6075215,41.0004711,-83.6660335,39063,4
11,48,189,1383880,48189,Hale,Hale County,6,H1,G4020, ,38380, ,A,2602109438,246678,34.0684364,-101.8228879,48189,11
12,1,27,161539,1027,Clay,Clay County,6,H1,G4020, , , ,A,1564251835,5285207,33.2703999,-85.8635254,1027,6
13,48,11,1383791,48011,Armstrong,Armstrong County,6,H1,G4020,108,11100, ,A,2354581675,12219583,34.964179,-101.3566363,48011,11
14,39,3,1074015,39003,Allen,Allen County,6,H1,G4020,338,30620, ,A,1042479885,11259523,40.7716274,-84.1061032,39003,4
15,13,189,348794,13189,McDuffie,McDuffie County,6,H1,G4020, ,12260, ,A,666848710,23114025,33.4796231,-82.4787331,13189,6
16,55,111,1581115,55111,Sauk,Sauk County,6,H1,G4020,357,12660, ,A,2153686396,45692629,43.428001,-89.9433184,55111,7
17,5,137,69902,5137,Stone,Stone County,6,H1,G4020, , , ,A,1570579417,7841927,35.8570011,-92.1404819,5137,8
18,41,63,1155135,41063,Wallowa,Wallowa County,6,H1,G4020, , , ,A,8147835370,14191752,45.593753,-117.1855796,41063,12
19,42,7,1214112,42007,Beaver,Beaver County,6,H1,G4020,430,38300, ,A,1125904407,24162728,40.6841401,-80.3507209,42007,4
20,28,61,695754,28061,Jasper,Jasper County,6,H1,G4020, ,29860, ,A,1751451435,3181592,32.0169894,-89.1194302,28061,6
21,29,83,758496,29083,Henry,Henry County,6,H1,G4020, , , ,A,1805075851,91636438,38.3864909,-93.7926278,29083,10
