date,shawdow_i_rate
1990-01-01,7.949798334
1990-02-01,7.79750347
1990-03-01,7.950956349
1990-04-01,8.136328768
1990-05-01,7.77278991
1990-06-01,7.668509364
1990-07-01,7.530426219
1990-08-01,7.554749023
1990-09-01,7.510451732
1990-10-01,7.338989995
1990-11-01,7.190736581
1990-12-01,6.757633871
1991-01-01,6.389955334
1991-02-01,6.103595167
1991-03-01,5.759428578
1991-04-01,5.56057275
1991-05-01,5.542755888
1991-06-01,5.529204234
1991-07-01,5.454525394
1991-08-01,5.208548947
1991-09-01,5.0170615
1991-10-01,4.796980944
1991-11-01,4.407385473
1991-12-01,3.74803748
1992-01-01,3.596534929
1992-02-01,3.53362034
1992-03-01,3.529291963
1992-04-01,3.266772465
1992-05-01,3.287771979
1992-06-01,3.4197986
1992-07-01,3.100888202
1992-08-01,3.081457068
1992-09-01,2.849500749
1992-10-01,2.948399432
1992-11-01,2.983053163
1992-12-01,2.757577148
1993-01-01,2.815827048
1993-02-01,2.870448205
1993-03-01,2.925477773
1993-04-01,2.912260331
1993-05-01,3.101410991
1993-06-01,3.136629326
1993-07-01,3.081037589
1993-08-01,3.086179622
1993-09-01,3.037644637
1993-10-01,3.111371452
1993-11-01,3.134685184
1993-12-01,3.127446112
1994-01-01,3.045331511
1994-02-01,3.428679226
1994-03-01,3.687515937
1994-04-01,4.065858095
1994-05-01,4.431783117
1994-06-01,4.683781225
1994-07-01,4.701363876
1994-08-01,4.742931629
1994-09-01,5.076840641
1994-10-01,5.272494697
1994-11-01,5.966025824
1994-12-01,7.116965918
1995-01-01,6.318976124
1995-02-01,5.990823706
1995-03-01,5.999391874
1995-04-01,5.927355612
1995-05-01,5.79438635
1995-06-01,5.67747201
1995-07-01,5.539711657
1995-08-01,5.492497887
1995-09-01,5.541904535
1995-10-01,5.493299018
1995-11-01,5.421266203
1995-12-01,5.332461345
1996-01-01,5.025643757
1996-02-01,5.047413682
1996-03-01,5.151580361
1996-04-01,5.187791645
1996-05-01,5.151295131
1996-06-01,5.264909488
1996-07-01,5.385405618
1996-08-01,5.279061334
1996-09-01,5.293657602
1996-10-01,5.211587867
1996-11-01,5.197881307
1996-12-01,5.224913309
1997-01-01,5.225783097
1997-02-01,5.274409192
1997-03-01,5.491629839
1997-04-01,5.458331771
1997-05-01,5.354305512
1997-06-01,5.324700415
1997-07-01,5.347401138
1997-08-01,5.401154315
1997-09-01,5.529254714
1997-10-01,5.379100416
1997-11-01,5.458878691
1997-12-01,5.423305038
1998-01-01,5.359936149
1998-02-01,5.408325808
1998-03-01,5.366703992
1998-04-01,5.331435162
1998-05-01,5.412042636
1998-06-01,5.294165049
1998-07-01,5.231623202
1998-08-01,5.129850371
1998-09-01,4.847670942
1998-10-01,4.73358855
1998-11-01,4.735287399
1998-12-01,4.693058139
1999-01-01,4.758663921
1999-02-01,4.84695458
1999-03-01,4.729021026
1999-04-01,4.74413017
1999-05-01,4.741674085
1999-06-01,4.926389088
1999-07-01,4.934898555
1999-08-01,5.185065369
1999-09-01,5.172663768
1999-10-01,5.314920684
1999-11-01,5.589182062
1999-12-01,5.826367953
2000-01-01,5.851752035
2000-02-01,5.849661457
2000-03-01,6.063026298
2000-04-01,6.162800907
2000-05-01,6.623019904
2000-06-01,6.460700693
2000-07-01,6.40821255
2000-08-01,6.389244609
2000-09-01,6.520552315
2000-10-01,6.646752099
2000-11-01,6.435690111
2000-12-01,5.988954306
2001-01-01,5.042857606
2001-02-01,4.761966603
2001-03-01,4.295160606
2001-04-01,3.828809841
2001-05-01,3.227612753
2001-06-01,3.272158314
2001-07-01,3.045688102
2001-08-01,2.832883985
2001-09-01,2.172959626
2001-10-01,1.574752388
2001-11-01,1.13321882
2001-12-01,0.674666983
2002-01-01,0.953370119
2002-02-01,0.967124991
2002-03-01,1.397097005
2002-04-01,0.932365917
2002-05-01,1.121632832
2002-06-01,1.02043058
2002-07-01,1.146547182
2002-08-01,1.429802234
2002-09-01,1.585054169
2002-10-01,1.443558186
2002-11-01,1.143420559
2002-12-01,1.124579304
2003-01-01,1.016596002
2003-02-01,1.155716797
2003-03-01,1.058940857
2003-04-01,1.012946033
2003-05-01,1.278635079
2003-06-01,1.10038592
2003-07-01,0.937336727
2003-08-01,0.735197156
2003-09-01,0.855586469
2003-10-01,0.833596129
2003-11-01,0.874236414
2003-12-01,0.740095504
2004-01-01,0.75299118
2004-02-01,0.746520514
2004-03-01,0.907943658
2004-04-01,0.869264847
2004-05-01,1.067755461
2004-06-01,1.324804052
2004-07-01,1.438309422
2004-08-01,1.626595493
2004-09-01,1.926455934
2004-10-01,2.080822268
2004-11-01,2.353133805
2004-12-01,2.534879938
2005-01-01,2.678211706
2005-02-01,2.839358161
2005-03-01,2.963444076
2005-04-01,3.076763415
2005-05-01,3.145371873
2005-06-01,3.317394612
2005-07-01,3.576478218
