"","x"
"1",1994-02-04
"2",1994-03-22
"3",1994-03-22
"4",1994-02-04
"5",1994-02-04
"6",1994-02-04
"7",1994-03-22
"8",1994-03-22
"9",1994-02-04
"10",1994-02-04
"11",1994-03-22
"12",1994-03-22
"13",1994-03-22
"14",1994-02-04
"15",1994-02-04
"16",1994-03-22
"17",1994-02-04
"18",1994-03-22
"19",1994-03-22
"20",1994-02-04
"21",1994-02-04
"22",1994-02-04
"23",1994-03-22
"24",1994-03-22
"25",1994-03-22
"26",1994-02-04
"27",1994-03-22
"28",1994-02-04
"29",1994-02-04
"30",1994-03-22
"31",1994-03-22
"32",1994-03-22
"33",1994-02-04
"34",1994-02-04
"35",1994-02-04
"36",1994-03-22
"37",1994-02-04
"38",1994-03-22
"39",1994-02-04
"40",1994-02-04
"41",1994-02-04
"42",1994-02-04
"43",1994-02-04
"44",1994-03-22
"45",1994-03-22
"46",1994-02-04
"47",1994-02-04
"48",1994-03-22
"49",1994-03-22
"50",1994-02-04
"51",1994-02-04
"52",1995-02-01
"53",1995-02-01
"54",1995-03-28
"55",1995-02-01
"56",1995-02-01
"57",1995-03-28
"58",1995-02-01
"59",1995-03-28
"60",1995-02-01
"61",1995-03-28
"62",1995-02-01
"63",1995-02-01
"64",1995-03-28
"65",1995-03-28
"66",1995-03-28
"67",1995-02-01
"68",1995-03-28
"69",1995-03-28
"70",1995-03-28
"71",1995-03-28
"72",1995-03-28
"73",1995-03-28
"74",1995-03-28
"75",1995-03-28
"76",1995-03-28
"77",1995-03-28
"78",1995-02-01
"79",1995-02-01
"80",1995-02-01
"81",1995-02-01
"82",1995-03-28
"83",1995-03-28
"84",1995-03-28
"85",1995-03-28
"86",1995-03-28
"87",1995-02-01
"88",1995-02-01
"89",1995-02-01
"90",1995-02-01
"91",1995-02-01
"92",1995-02-01
"93",1995-02-01
"94",1995-02-01
"95",1995-02-01
"96",1995-02-01
"97",1995-02-01
"98",1995-02-01
"99",1995-03-28
"100",1995-02-01
"101",1995-02-01
"102",1995-02-01
"103",1995-02-01
"104",1995-02-01
"105",1995-02-01
"106",1995-02-01
"107",1995-02-01
"108",1995-02-01
"109",1995-02-01
"110",1996-01-31
"111",1996-01-31
"112",1996-01-31
"113",1996-01-31
"114",1996-01-31
"115",1996-01-31
"116",1996-01-31
"117",1996-03-26
"118",1996-01-31
"119",1996-01-31
"120",1996-01-31
"121",1996-01-31
"122",1996-01-31
"123",1996-01-31
"124",1996-01-31
"125",1996-01-31
"126",1996-01-31
"127",1996-03-26
"128",1996-01-31
"129",1996-03-26
"130",1996-01-31
"131",1996-03-26
"132",1996-01-31
"133",1996-01-31
"134",1996-01-31
"135",1996-03-26
"136",1996-01-31
"137",1996-01-31
"138",1996-03-26
"139",1996-03-26
"140",1996-03-26
"141",1996-03-26
"142",1996-01-31
"143",1996-03-26
"144",1996-03-26
"145",1996-03-26
"146",1996-03-26
"147",1996-03-26
"148",1996-03-26
"149",1996-03-26
"150",1996-03-26
"151",1996-01-31
"152",1996-03-26
"153",1996-03-26
"154",1996-03-26
"155",1996-03-26
"156",1996-03-26
"157",1997-03-25
"158",1997-03-25
"159",1997-03-25
"160",1997-03-25
"161",1997-02-05
"162",1997-02-05
"163",1997-03-25
"164",1997-02-05
"165",1997-03-25
"166",1997-03-25
"167",1997-03-25
"168",1997-03-25
"169",1997-02-05
"170",1997-03-25
"171",1997-03-25
"172",1997-03-25
"173",1997-02-05
"174",1997-03-25
"175",1997-03-25
"176",1997-02-05
"177",1997-02-05
"178",1997-03-25
"179",1997-02-05
"180",1997-03-25
"181",1997-02-05
"182",1997-02-05
"183",1997-03-25
"184",1997-03-25
"185",1997-02-05
"186",1997-03-25
"187",1997-02-05
"188",1997-02-05
"189",1997-03-25
"190",1997-02-05
"191",1997-03-25
"192",1997-02-05
"193",1997-02-05
"194",1997-02-05
"195",1997-02-05
"196",1997-02-05
"197",1997-03-25
"198",1997-02-05
"199",1997-02-05
"200",1997-02-05
"201",1997-02-05
"202",1997-02-05
"203",1997-02-05
"204",1998-02-04
"205",1998-03-31
"206",1998-02-04
"207",1998-02-04
"208",1998-02-04
"209",1998-03-31
"210",1998-03-31
"211",1998-03-31
"212",1998-02-04
"213",1998-03-31
"214",1998-02-04
"215",1998-02-04
"216",1998-02-04
"217",1998-02-04
"218",1998-02-04
"219",1998-02-04
"220",1998-02-04
"221",1998-02-04
"222",1998-03-31
"223",1998-03-31
"224",1998-03-31
"225",1998-03-31
"226",1998-03-31
"227",1998-03-31
"228",1998-03-31
"229",1998-02-04
"230",1998-03-31
"231",1998-03-31
"232",1998-02-04
"233",1998-02-04
"234",1998-02-04
"235",1998-02-04
"236",1998-02-04
"237",1998-02-04
"238",1998-02-04
"239",1998-03-31
"240",1998-02-04
"241",1998-02-04
"242",1998-03-31
"243",1998-03-31
"244",1998-02-04
"245",1998-02-04
"246",1998-03-31
