short_name,greeting
fischer,Mr
yellen,Ms
dudley,Mr
potter,Mr
bullard,Mr
allison,Ms
lacker,Mr
logan,Ms
george,Ms
wilcox,Mr
wood,Mr
klee,Ms
brainard,Ms
kiley,Mr
evans,Mr
lockhart,Mr
kamin,Mr
laubach,Mr
rosengren,Mr
tarullo,Mr
mester,Ms
harker,Mr
kaplan,Mr
kashkari,Mr
powell,Mr
madigan,Mr
rivlin,Ms
phillips,Ms
mcdonough,Mr
kelley,Mr
greenspan,Mr
bernard,Mr
minehan,Ms
fisher,Mr
truman,Mr
jordan,Mr
mcteer,Mr
broaddus,Mr
parry,Mr
prell,Mr
johnson,Ms
kohn,Mr
stockton,Mr
stern,Mr
boehne,Mr
guynn,Mr
moskow,Mr
hoenig,Mr
gramlich,Mr
ferguson,Mr
meyer,Mr
rives,Mr
lindsey,Mr
bernanke,Mr
sack,Mr
warsh,Mr
kocherlakota,Mr
plosser,Mr
sheets,Mr
pianalto,Ms
duke,Ms
luecke,Mr
geithner,Mr
wascher,Mr
slifman,Mr
kroszner,Mr
mishkin,Mr
danker,Ms
angulo,Mr
parkinson,Mr
alvarez,Mr
english,Mr
weinbach,Ms
bowman,Mr
kos,Mr
reinhart,Mr
perelmuter,Ms
bies,Ms
santomero,Mr
poole,Mr
olson,Mr
sapenaro,Mr
gillum,Mr
simpson,Mr
rolnick,Mr
roberts,Mr
lebow,Mr
brayton,Mr
oliner,Mr
barron,Mr
blinder,Mr
forrestal,Mr
melzer,Mr
mosser,Ms
reifschneider,Mr
liang,Ms
gibson,Mr
peters,Mr
hirtle,Ms
greenlee,Mr
greenlee,Ms
johnson,Mr
raskin,Ms
remache,Ms
carpenter,Mr
robertson,Ms
gust,Mr
yi,Mr
tambalotti,Mr
ihrig,Ms
lehnert,Mr
stewart,Mr
varvel,Mr
krieger,Ms
fox,Ms
smith,Ms
laware,Mr
lovett,Ms
keehn,Mr
struckmeyer,Mr
mattingly,Mr
winn,Mr
coyne,Mr
hooper,Mr
siegman,Mr
stone,Mr
deboer,Ms
engen,Mr
faust,Mr
stein,Mr
bostic,Mr
tevlin,Ms
erceg,Mr
zarutskie,Ms
mullinix,Mr
kohn,Ms
sichel,Mr
fuhrer,Mr
steindel,Mr
leonard,Ms
syron,Mr
rudd,Mr
nelson,Mr
gagnon,Mr
hilton,Mr
bailey,Ms
clouse,Mr
bassett,Mr
morin,Mr
kole,Ms
lipscomb,Ms
meade,Ms
prichard,Mr
holcomb,Ms
gallin,Mr
wilson,Ms
edge,Ms
gooding,Ms
skidmore,Mr
quarles,Mr
covitz,Mr
goldberg,Ms
moore,Mr
elmendorf,Mr
frost,Mr
natalucci,Mr
gruber,Mr
tetlow,Mr
conrad,Mr
leahy,Mr
mclaughlin,Ms
burke,Mr
mcandrews,Mr
george,Mr
howard,Mr
davig,Mr
martin,Mr
palumbo,Mr
cavallo,Mr
krane,Mr
adrian,Mr
sim,Mr
clark,Mr
rosenblum,Mr
whitesell,Mr
sniderman,Mr
reeve,Mr
ezer,Ms
wuerffel,Mr
stevens,Mr
ahmed,Mr
croushore,Mre
cumming,Ms
lyon,Mr
raskin,Mr
fallick,Mr
faberman,Mr
zickler,Ms
doyle,Mr
promisel,Mr
eichner,Mr
kim,Mr
wei,Mr
follette,Mr
peach,Mr
rudebusch,Mr
duca,Mr
haughwout,Mr
cooper,Mr
dotsey,Mr
spillenkothen,Mr
wu,Mr
aaronson,Ms
wynne,Mr
hornstein,Mr
lang,Mr
engstrom,Mr
goodfriend,Mr
alexander,Mr
altig,Mr
logan,Mr
campbell,Mr
stefani,Mr
liang,Mr
stockton,Ms
elsasser,Mr
covas,Mr
ihrig,Mr
roush,Ms
dynan,Ms
