Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20080805
Geithner,Mr,vice chairman,20080805
Duke,Ms,governor,20080805
Fisher,Mr,president,20080805
Kohn,Mr,governor,20080805
Kroszner,Mr,governor,20080805
Mishkin,Mr,governor,20080805
Pianalto,Ms,president,20080805
Plosser,Mr,president,20080805
Stern,Mr,president,20080805
Warsh,Mr,governor,20080805
Evans,Mr,president,20080805
Lacker,Mr,president,20080805
Lockart,Mr,president,20080805
Yellen,Ms,president,20080805
Bullard,Mr,president,20080805
Hoenig,Mr,president,20080805
Rosengren,Mr,president,20080805
Madigan,Mr,secretary and economist,20080805
Danker,Ms,deputy secretary,20080805
Smith,Ms,assistant secretary,20080805
Skidmore,Mr,assistant secretary,20080805
Alvarez,Mr,general counsel,20080805
Ashton,Mr,assistant general counsel,20080805
Sheets,Mr,economist,20080805
Connors,Mr,associate economist,20080805
English,Mr,associate economist,20080805
Kamin,Mr,associate economist,20080805
Sniderman,Mr,associate economist,20080805
Wilcox,Mr,associate economist,20080805
Dudley,Mr,system open market account manager,20080805
Bailey,Ms,deputy director,20080805
Blanchard,Mr,assistant to the board,20080805
Struckmeyer,Mr,deputy staff director,20080805
Liang,Ms,associate director,20080805
Reifschneider,Mr,associate director,20080805
Wascher,Mr,associate director,20080805
Levin,Mr,deputy associate director,20080805
Small,Mr,project manager,20080805
Luecke,Mr,section chief,20080805
Wei,Ms,economist,20080805
Low,Ms,open market secretariat specialist,20080805
Connolly,Mr,first vice president,20080805
Fuhrer,Mr,executive vice president,20080805
Judd,Mr,executive vice president,20080805
Altig,Mr,senior vice president,20080805
Hakkio,Mr,senior vice president,20080805
Rasche,Mr,senior vice president,20080805
Sullivan,Mr,senior vice president,20080805
Danzig,Mr,vice president,20080805
Duca,Mr,vice president,20080805
Weber,Mr,senior research officer,20080805
Hetzel,Mr,senior economist,20080805
Sill,Mr,economic advisor,20080805
Del negro,Mr,officer,20080805
