Clean Names,Greeting,Position,date,
Miller,Mr,chairman,19790206,
Volcker,Mr,vice chairman,19790206,
Baughman,Mr,president,19790206,
Coldwell,Mr,president,19790206,
Eastburn,Mr,president,19790206,
Partee,Mr,governor,19790206,
Teeters,Ms,governor,19790206,
Wallich,Mr,governor,19790206,
Willes,Mr,president,19790206,
Winn,Mr,president,19790206,
Mayo,Mr,president,19790206,
Balles,Mr,president,19790206,
Black,Mr,president,19790206,
Guffey,Mr,president,19790206,
Morris,Mr,president,19790206,
Roos,Mr,president,19790206,
Altmann,Mr,secretary,19790206,
Bernard,Mr,assistant secretary,19790206,
Guy,Mr,deputy general counsel,19790206,
Mannion,Mr,assistant general counsel,19790206,
Axilrod,Mr,economist,19790206,
Burns,Mr,associate economist,19790206,
J Davis,Mr,associate economist,19790206,
R Davis,Mr,associate economist,19790206,
Ettin,Mr,associate economist,19790206,
Keir,Mr,associate economist,19790206,
Kichline,Mr,associate economist,19790206,
Zeisel,Mr,associate economist,19790206,
Holmes,Mr,manager,19790206,
Sternlight,Mr,deputy manager for domestic operations,19790206,
Pardee,Mr,deputy manager for foreign operations,19790206,
Coyne,Mr,assistant to the board of governors,19790206,
Kalchbrenner,Mr,associate director,19790206,
Gemmill,Mr,associate director,19790206,
Farar,Ms,economist,19790206,
Belton,Ms,secretary,19790206,
Fossum,Mr,first vice president,19790206,
Macdonald,Mr,first vice president,19790206,
Balbach,Mr,senior vice president,19790206,
Boehne,Mr,senior vice president,19790206,
Brandt,Mr,senior vice president,19790206,
Davis,Mr,senior vice president,19790206,
Eisenmenger,Mr,senior vice president,19790206,
Keran,Mr,senior vice president,19790206,
Parthemos,Mr,senior vice president,19790206,
Scheld,Mr,senior vice president,19790206,
Meek,Mr,monetary adviser,19790206,
