Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20111102
Dudley,Mr,vice chairman,20111102
Duke,Ms,governor,20111102
Evans,Mr,president,20111102
Fisher,Mr,president,20111102
Kocherlakota,Mr,president,20111102
Plosser,Mr,president,20111102
Raskin,Ms,governor,20111102
Tarullo,Mr,governor,20111102
Yellen,Ms,governor,20111102
Cumming,Ms,first vice president,20111102
Lacker,Mr,president,20111102
Lockhart,Mr,president,20111102
Pianalto,Ms,president,20111102
Williams,Mr,president,20111102
Bullard,Mr,president,20111102
Rosengren,Mr,president,20111102
George,Ms,first vice president,20111102
English,Mr,secretary and economist,20111102
Danker,Ms,deputy secretary,20111102
Luecke,Mr,assistant secretary,20111102
Skidmore,Mr,assistant secretary,20111102
Smith,Ms,assistant secretary,20111102
Alvarez,Mr,general counsel,20111102
Wilcox,Mr,associate economist,20111102
Clouse,Mr,associate economist,20111102
Connors,Mr,associate economist,20111102
Kamin,Mr,associate economist,20111102
Mester,Ms,associate economist,20111102
Potter,Mr,associate economist,20111102
Reifscheinder,Mr,associate economist,20111102
Rosenblum,Mr,associate economist,20111102
Slifman,Mr,associate economist,20111102
Sullivan,Mr,associate economist,20111102
Yi,Mr,associate economist,20111102
Sack,Mr,system open market account manager,20111102
Johnson,Ms,secretary of the board,20111102
Parkinson,Mr,director,20111102
Liang,Ms,director,20111102
Frierson,Mr,deputy secretary,20111102
Nelson,Mr,deputy director,20111102
Levin,Mr,special adviser to the board,20111102
Robertson,Ms,assistant to the board,20111102
Struckmeyer,Mr,deputy staff director,20111102
Leahy,Mr,senior associate director,20111102
Wascher,Mr,senior associate director,20111102
Meade,Ms,senior adviser,20111102
Covitz,Mr,associate director,20111102
Kiley,Mr,associate director,20111102
Erceg,Mr,deputy associate director,20111102
Natalucci,Mr,deputy associate director,20111102
Gross,Mr,special assistant to the board,20111102
Lopez-Salido,Mr,assistant director,20111102
Small,Mr,project manager,20111102
Carlson,Mr,senior economist,20111102
Beattie,Ms,assistant to the secretary,20111102
Green,Ms,first vice president,20111102
Rudebusch,Mr,executive vice president,20111102
Altig,Mr,senior vice president,20111102
Tootell,Mr,senior vice president,20111102
Waller,Mr,senior vice president,20111102
Clark,Mr,vice president,20111102
Knotek,Mr,vice president,20111102
Wuerffel,Mr,vice president,20111102
Leonard,Ms,assistant vice president,20111102
Hetzel,Mr,senior economist,20111102
