date,speaker,district,unemployment_discussion_score,unemployment_rate,num_turns
2006-01-31,FISHER,Dallas,0.22345715590539877,3.2412605135768855,684
2006-01-31,GEITHNER,New York,0.19908649686037522,3.2412605135768855,1140
2006-01-31,GUYNN,Atlanta,0.2208024553520177,3.2412605135768855,684
2006-01-31,HOENIG,Kansas City,0.2677024202413815,3.2412605135768855,456
2006-01-31,LACKER,Richmond,0.23741391879739374,3.2412605135768855,912
2006-01-31,MINEHAN,Boston,0.24413190868784018,3.2412605135768855,1596
2006-01-31,MOSKOW,Chicago,0.2747370516483304,3.2412605135768855,456
2006-01-31,PIANALTO,Cleveland,0.25142842975462387,3.2412605135768855,456
2006-01-31,POOLE,St. Louis,0.19225235403521404,3.2412605135768855,684
2006-01-31,SANTOMERO,Philadelphia,0.24235336854488193,3.2412605135768855,684
2006-01-31,STERN,Minneapolis,0.27101888856071155,3.2412605135768855,684
2006-01-31,YELLEN,San Francisco,0.22260222560372983,3.2412605135768855,684
2006-03-28,FISHER,Dallas,0.24170222352078838,5.414898033587189,5852
2006-03-28,GEITHNER,New York,0.23899895624858955,5.414898033587189,2926
2006-03-28,GUYNN,Atlanta,0.25058724023276535,5.414898033587189,3135
2006-03-28,HOENIG,Kansas City,0.2565880445232282,5.414898033587189,1672
2006-03-28,LACKER,Richmond,0.22247362982699975,5.414898033587189,6270
2006-03-28,MINEHAN,Boston,0.18883803834628757,5.414898033587189,5852
2006-03-28,MOSKOW,Chicago,0.247567375282797,5.414898033587189,5016
2006-03-28,PIANALTO,Cleveland,0.24523655704129058,5.414898033587189,2926
2006-03-28,POOLE,St. Louis,0.24812355214244633,5.414898033587189,5016
2006-03-28,STERN,Minneapolis,0.30743924052531285,5.414898033587189,3135
2006-03-28,YELLEN,San Francisco,0.28336158210392215,5.414898033587189,5643
2006-05-10,FISHER,Dallas,0.24259586806898384,3.1338339668329223,3672
2006-05-10,GEITHNER,New York,0.23282004499609457,3.1338339668329223,1530
2006-05-10,GUYNN,Atlanta,0.3321054452061479,3.1338339668329223,918
2006-05-10,HOENIG,Kansas City,0.24016664584451874,3.1338339668329223,1836
2006-05-10,LACKER,Richmond,0.2532818214248387,3.1338339668329223,3366
2006-05-10,MINEHAN,Boston,0.19046894422082994,3.1338339668329223,3672
2006-05-10,MOSKOW,Chicago,0.20303067263466615,3.1338339668329223,2448
2006-05-10,PIANALTO,Cleveland,0.2739082459590598,3.1338339668329223,918
2006-05-10,POOLE,St. Louis,0.2846578833657236,3.1338339668329223,3060
2006-05-10,STERN,Minneapolis,0.3369432450066831,3.1338339668329223,918
2006-05-10,YELLEN,San Francisco,0.2891497786973375,3.1338339668329223,1836
2006-06-29,FISHER,Dallas,0.2238517821083317,6.011602414373767,4342
2006-06-29,GEITHNER,New York,0.20695825423859313,6.011602414373767,3006
2006-06-29,GUYNN,Atlanta,0.22752081888204667,6.011602414373767,1503
2006-06-29,HOENIG,Kansas City,0.32848098596936776,6.011602414373767,1002
2006-06-29,LACKER,Richmond,0.21104567604139407,6.011602414373767,4342
2006-06-29,MINEHAN,Boston,0.26355297324112054,6.011602414373767,5344
2006-06-29,MOSKOW,Chicago,0.21857426582792355,6.011602414373767,3006
2006-06-29,PIANALTO,Cleveland,0.2783326240511817,6.011602414373767,1002
2006-06-29,POOLE,St. Louis,0.20845328665786705,6.011602414373767,3006
2006-06-29,STERN,Minneapolis,0.31044919251101316,6.011602414373767,1002
2006-06-29,YELLEN,San Francisco,0.24951831566655827,6.011602414373767,2004
2006-08-08,FISHER,Dallas,0.2774245034193185,5.389865454534941,1392
2006-08-08,GEITHNER,New York,0.19983644807324155,5.389865454534941,1856
2006-08-08,GUYNN,Atlanta,0.27811083730214353,5.389865454534941,1044
2006-08-08,HOENIG,Kansas City,0.2708589593658873,5.389865454534941,696
2006-08-08,LACKER,Richmond,0.2838831432554756,5.389865454534941,928
2006-08-08,MINEHAN,Boston,0.29237658257827326,5.389865454534941,2088
2006-08-08,MOSKOW,Chicago,0.2984428004054481,5.389865454534941,1856
2006-08-08,PIANALTO,Cleveland,0.30171247596316814,5.389865454534941,928
2006-08-08,PLOSSER,Philadelphia,0.27097102164015624,5.389865454534941,1160
2006-08-08,POOLE,St. Louis,0.32070295170052177,5.389865454534941,1624
2006-08-08,STERN,Minneapolis,0.2694231124683998,5.389865454534941,1044
2006-08-08,YELLEN,San Francisco,0.2527293954810686,5.389865454534941,1392
2006-09-20,FISHER,Dallas,0.28612083438459757,6.078583577994432,1806
2006-09-20,GEITHNER,New York,0.23132014343284138,6.078583577994432,774
2006-09-20,GUYNN,Atlanta,0.29212351169638795,6.078583577994432,774
2006-09-20,HOENIG,Kansas City,0.34487247195908666,6.078583577994432,516
2006-09-20,LACKER,Richmond,0.21688895176386375,6.078583577994432,4386
2006-09-20,MINEHAN,Boston,0.3015004836244282,6.078583577994432,2580
2006-09-20,MOSKOW,Chicago,0.22960668108748652,6.078583577994432,1806
2006-09-20,PIANALTO,Cleveland,0.34664913498660344,6.078583577994432,516
2006-09-20,PLOSSER,Philadelphia,0.3010954303678384,6.078583577994432,516
2006-09-20,POOLE,St. Louis,0.2551890174749782,6.078583577994432,1806
2006-09-20,STERN,Minneapolis,0.30829448234657236,6.078583577994432,1548
2006-09-20,YELLEN,San Francisco,0.3223174571091567,6.078583577994432,774
2006-10-25,FISHER,Dallas,0.2621320910426265,5.357667190425541,6696
2006-10-25,GEITHNER,New York,0.20675151357470806,5.357667190425541,5580
2006-10-25,HOENIG,Kansas City,0.25188676285442835,5.357667190425541,2976
2006-10-25,LACKER,Richmond,0.2508008482296954,5.357667190425541,2976
2006-10-25,MINEHAN,Boston,0.2386710860696824,5.357667190425541,5580
2006-10-25,MOSKOW,Chicago,0.24001714322688653,5.357667190425541,4464
2006-10-25,PIANALTO,Cleveland,0.26937213795926845,5.357667190425541,1488
2006-10-25,PLOSSER,Philadelphia,0.28763024423805167,5.357667190425541,2604
2006-10-25,POOLE,St. Louis,0.24803775432810077,5.357667190425541,5952
2006-10-25,STERN,Minneapolis,0.26688383646138564,5.357667190425541,2790
2006-10-25,YELLEN,San Francisco,0.3232847229591205,5.357667190425541,3348
2006-12-12,FISHER,Dallas,0.2989530935782479,4.4646649129837765,2072
2006-12-12,GEITHNER,New York,0.22465751573610393,4.4646649129837765,4736
2006-12-12,HOENIG,Kansas City,0.1924126729656727,4.4646649129837765,1776
2006-12-12,LACKER,Richmond,0.2845391667817945,4.4646649129837765,2368
2006-12-12,MINEHAN,Boston,0.21084870566081315,4.4646649129837765,3848
2006-12-12,MOSKOW,Chicago,0.3572179634883865,4.4646649129837765,1184
2006-12-12,PIANALTO,Cleveland,0.31233068184105883,4.4646649129837765,1480
2006-12-12,PLOSSER,Philadelphia,0.234022941128006,4.4646649129837765,2072
2006-12-12,POOLE,St. Louis,0.2367335318820199,4.4646649129837765,2072
2006-12-12,STERN,Minneapolis,0.2745864984795067,4.4646649129837765,1332
2006-12-12,YELLEN,San Francisco,0.34691199503138187,4.4646649129837765,1776
