date,district,unemployment_rate,unemployment_gap
1976-01-01,1,8.616666666666667,1.394166666666667
1976-01-01,2,10.3,3.0775000000000006
1976-01-01,3,8.766666666666666,1.5441666666666656
1976-01-01,4,6.85,-0.3725000000000005
1976-01-01,5,7.083333333333333,-0.1391666666666671
1976-01-01,6,7.459999999999999,0.23749999999999893
1976-01-01,7,6.659999999999999,-0.5625000000000009
1976-01-01,8,6.65,-0.5724999999999998
1976-01-01,9,4.65,-2.5725
1976-01-01,10,5.283333333333333,-1.939166666666667
1976-01-01,11,6.05,-1.1725000000000003
1976-01-01,12,8.299999999999999,1.0774999999999988
1976-02-01,1,8.616666666666667,1.3932407407407412
1976-02-01,2,10.3,3.076574074074075
1976-02-01,3,8.766666666666666,1.5432407407407398
1976-02-01,4,6.85,-0.37342592592592627
1976-02-01,5,7.083333333333333,-0.14009259259259288
1976-02-01,6,7.459999999999999,0.23657407407407316
1976-02-01,7,6.659999999999999,-0.5634259259259267
1976-02-01,8,6.65,-0.5734259259259256
1976-02-01,9,4.65,-2.5734259259259256
1976-02-01,10,5.283333333333333,-1.9400925925925927
1976-02-01,11,6.05,-1.173425925925926
1976-02-01,12,8.31111111111111,1.087685185185184
1976-03-01,1,8.616666666666667,1.410972222222223
1976-03-01,2,10.2,2.994305555555555
1976-03-01,3,8.766666666666666,1.5609722222222215
1976-03-01,4,6.85,-0.35569444444444454
1976-03-01,5,7.066666666666666,-0.13902777777777775
1976-03-01,6,7.42,0.21430555555555575
1976-03-01,7,6.640000000000001,-0.5656944444444436
1976-03-01,8,6.65,-0.5556944444444438
1976-03-01,9,4.625,-2.580694444444444
1976-03-01,10,5.266666666666667,-1.9390277777777776
1976-03-01,11,6.1,-1.1056944444444445
1976-03-01,12,8.266666666666667,1.0609722222222233
1976-04-01,1,8.549999999999999,1.3899074074074056
1976-04-01,2,10.2,3.039907407407406
1976-04-01,3,8.866666666666667,1.7065740740740738
1976-04-01,4,6.75,-0.41009259259259334
1976-04-01,5,6.966666666666666,-0.19342592592592744
1976-04-01,6,7.32,0.15990740740740694
1976-04-01,7,6.540000000000001,-0.6200925925925924
1976-04-01,8,6.6,-0.5600925925925937
1976-04-01,9,4.6000000000000005,-2.560092592592593
1976-04-01,10,5.2,-1.9600925925925932
1976-04-01,11,6.15,-1.010092592592593
1976-04-01,12,8.177777777777777,1.0176851851851838
1976-05-01,1,8.450000000000001,1.3379629629629637
1976-05-01,2,10.2,3.087962962962962
1976-05-01,3,8.933333333333334,1.8212962962962962
1976-05-01,4,6.65,-0.462037037037037
1976-05-01,5,6.9,-0.21203703703703702
1976-05-01,6,7.2,0.0879629629629628
1976-05-01,7,6.4,-0.712037037037037
1976-05-01,8,6.55,-0.5620370370370376
1976-05-01,9,4.55,-2.5620370370370376
1976-05-01,10,5.183333333333333,-1.9287037037037047
1976-05-01,11,6.25,-0.8620370370370374
1976-05-01,12,8.077777777777778,0.9657407407407401
1976-06-01,1,8.35,1.2712500000000002
1976-06-01,2,10.2,3.12125
1976-06-01,3,9.0,1.9212500000000006
1976-06-01,4,6.55,-0.5287499999999996
1976-06-01,5,6.833333333333333,-0.2454166666666664
1976-06-01,6,7.159999999999999,0.08124999999999982
1976-06-01,7,6.26,-0.8187499999999996
1976-06-01,8,6.5,-0.5787499999999994
1976-06-01,9,4.575,-2.5037499999999993
1976-06-01,10,5.133333333333333,-1.9454166666666666
1976-06-01,11,6.35,-0.7287499999999998
1976-06-01,12,8.033333333333333,0.9545833333333338
1976-07-01,1,8.266666666666667,1.203657407407408
1976-07-01,2,10.2,3.13699074074074
