embedding,total_words,num_statements,district,is_bank_president,speaker,date,year,semantic_dissent,dissent_chair,num_speakers_in_meeting,year_month,unemployment_rate,national_unemployment,unemployment_gap
"[ 0.03920425  0.0018769   0.0166492  ... -0.01026134  0.00100092
  0.00379542]",1165,15,Philadelphia,True,MR BOEHNE,1994-02-04,1994,0.09890275470730336,0.11605826481755777,32,1994-02,6.366666666666667,6.041064814814814,0.32560185185185286
"[ 0.03365813  0.01326131  0.02769503 ... -0.02091349  0.00293859
  0.00470515]",1196,6,Richmond,True,MR BROADDUS,1994-02-04,1994,0.08195701308681613,0.11839820089988373,32,1994-02,6.616666666666667,6.041064814814814,0.5756018518518529
"[ 0.01999604  0.01616026  0.02545004 ... -0.00245895  0.01261004
  0.01981499]",39,2,Dallas,True,MR FISHER,1994-02-04,1994,0.5602784342601482,0.6273977462169635,32,1994-02,7.45,6.041064814814814,1.408935185185186
"[ 0.04239421  0.01438788  0.03434758 ... -0.01813176  0.00563016
 -0.00119416]",1369,9,Atlanta,True,MR FORRESTAL,1994-02-04,1994,0.08134636795599426,0.10572488677048886,32,1994-02,6.12,6.041064814814814,0.07893518518518583
"[ 0.03160696  0.02284184  0.02928589 ... -0.02499845  0.00775482
  0.00069496]",574,6,Kansas City,True,MR HOENIG,1994-02-04,1994,0.10779273376610454,0.14691943554791176,32,1994-02,4.983333333333333,6.041064814814814,-1.0577314814814809
"[ 0.02809478  0.0108592   0.02672662 ... -0.01714637  0.00665619
 -0.00563973]",2327,19,Cleveland,True,MR JORDAN,1994-02-04,1994,0.07297830298734687,0.1191123005858894,32,1994-02,5.949999999999999,6.041064814814814,-0.09106481481481499
"[ 0.04270735  0.0096989   0.02434266 ... -0.00820086 -0.00202967
  0.00434879]",1101,11,Chicago,True,MR KEEHN,1994-02-04,1994,0.1405553066681151,0.19656207957741467,32,1994-02,5.32,6.041064814814814,-0.721064814814814
"[ 0.01819829  0.00836398  0.04010158 ... -0.01662549  0.0094371
 -0.00359047]",306,7,Dallas,True,MR MCTEER,1994-02-04,1994,0.1700242316689039,0.2394565145553783,32,1994-02,7.45,6.041064814814814,1.408935185185186
"[ 0.02423492  0.01197424  0.03821165 ... -0.02527858  0.00753856
  0.0075033 ]",1525,16,St. Louis,True,MR MELZER,1994-02-04,1994,0.09734015515697836,0.15232163762587214,32,1994-02,5.65,6.041064814814814,-0.3910648148148139
"[ 0.03180518  0.01199512  0.05523479 ... -0.00010567  0.03052139
 -0.01636365]",1088,14,San Francisco,True,MR PARRY,1994-02-04,1994,0.13805249250372098,0.21037435758619727,32,1994-02,6.277777777777778,6.041064814814814,0.2367129629629634
"[ 0.03138185  0.01280743  0.02863989 ... -0.02709494  0.00989367
  0.00155662]",674,5,Minneapolis,True,MR STERN,1994-02-04,1994,0.09503450162703464,0.15575242337034534,32,1994-02,4.325,6.041064814814814,-1.716064814814814
"[ 0.02342885  0.00500698  0.02890691 ... -0.01689273  0.00470371
 -0.0020684 ]",1864,26,Boston,True,MR SYRON,1994-02-04,1994,0.07154232593390497,0.08250201967098592,32,1994-02,5.933333333333334,6.041064814814814,-0.1077314814814807
"[ 0.01811908  0.0088149   0.01122258 ... -0.01918987  0.0069864
 -0.00821469]",1230,8,New York,True,VICE CHAIRMAN MCDONOUGH,1994-02-04,1994,0.0881276899591159,0.1151472051757616,32,1994-02,7.5,6.041064814814814,1.4589351851851857
"[ 0.04168351  0.01554967  0.03575321 ... -0.02620562  0.01652538
 -0.00148218]",1289,7,Philadelphia,True,MR BOEHNE,1994-03-22,1994,0.120694992092657,0.7781907562215724,29,1994-03,6.333333333333333,5.96037037037037,0.37296296296296294
"[ 0.0213423   0.01017417  0.03108781 ... -0.02460645  0.01130235
  0.00118699]",1869,6,Richmond,True,MR BROADDUS,1994-03-22,1994,0.09450874393936415,0.7619938665273225,29,1994-03,6.55,5.96037037037037,0.5896296296296297
"[ 0.00560075  0.01296595  0.00623611 ... -0.03016687 -0.01352956
 -0.01033289]",69,3,Dallas,True,MR FISHER,1994-03-22,1994,0.44908840910891024,0.8655460067620283,29,1994-03,7.35,5.96037037037037,1.3896296296296295
"[ 0.0408632   0.00963708  0.04419038 ... -0.01941065  0.01186339
  0.00796794]",1410,5,Atlanta,True,MR FORRESTAL,1994-03-22,1994,0.11548224999560897,0.7685559621212145,29,1994-03,6.040000000000001,5.96037037037037,0.07962962962963083
"[ 0.02431939  0.0216001   0.05904732 ... -0.01956559  0.00311723
 -0.01598831]",837,4,Kansas City,True,MR HOENIG,1994-03-22,1994,0.14755954156666318,0.7852740160626478,29,1994-03,4.916666666666667,5.96037037037037,-1.0437037037037031
"[ 0.0206709   0.01297519  0.03899573 ... -0.02465472  0.00423086
 -0.00491872]",2496,12,Cleveland,True,MR JORDAN,1994-03-22,1994,0.07381729690752048,0.7477396303997929,29,1994-03,5.85,5.96037037037037,-0.11037037037037045
"[ 0.0340691   0.00720144  0.01874707 ... -0.01493535  0.00484876
  0.01366485]",1002,3,Chicago,True,MR KEEHN,1994-03-22,1994,0.14593022915708942,0.7495684489051018,29,1994-03,5.24,5.96037037037037,-0.7203703703703699
"[ 0.00868349  0.00892349  0.06011773 ... -0.03837401  0.00538053
 -0.00389853]",808,8,Dallas,True,MR MCTEER,1994-03-22,1994,0.18344370338945526,0.7837214640391021,29,1994-03,7.35,5.96037037037037,1.3896296296296295
"[ 0.01345855 -0.00257616  0.02804365 ... -0.01601559  0.00356014
  0.0042494 ]",1233,6,St. Louis,True,MR MELZER,1994-03-22,1994,0.08739526920040874,0.7406724587526509,29,1994-03,5.5,5.96037037037037,-0.4603703703703701
