,Unnamed: 0,date,speaker,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,short_name,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote
0,3294.0,20081216,mr aaronson,1.0,763.0,1029.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0621216037205013,0.0185185185185185,aaronson,,9,1,10,0.1
1,3316.0,20081216,ms aaronson,6.0,15603.0,1844.3333333333333,1.0,1.0,3.0,0.0,3.0,8.0,0.0621216037205013,-0.0453806212002934,aaronson,,9,1,10,0.1
2,5193.0,20161214,ms aaronson,13.0,15746.0,966.3076923076924,1.0,0.0,5.0,2.0,2.0,12.0,0.06511152936269,0.0078069026807681,aaronson,,8,2,10,0.2
3,5025.0,20160427,mr adrian,2.0,9488.0,4951.5,1.0,0.0,1.0,0.0,0.0,4.0,0.0750407577621427,0.0003472222222221,adrian,,9,1,10,0.1
4,3295.0,20081216,mr ahmed,9.0,10963.0,224.0,1.0,0.0,5.0,0.0,3.0,5.0,0.0621216037205013,0.0179046120468715,ahmed,,9,1,10,0.1
5,5056.0,20160615,mr ahmed,10.0,12988.0,1070.1,1.0,1.0,3.0,1.0,7.0,20.0,0.0844807701790191,0.0725877166311949,ahmed,,10,0,10,0.0
6,5387.0,20171213,mr ahmed,3.0,11629.0,3369.0,1.0,2.0,0.0,1.0,2.0,16.0,0.0553751646191274,0.0845333019299442,ahmed,,7,2,9,0.2222222222222222
7,1172.0,19990203,mr alexander,2.0,19264.0,297.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0351279054183673,0.0810810810810811,alexander,,11,0,11,0.0
8,5133.0,20160921,ms allison,1.0,105.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.057280551397603,0.111111111111111,allison,,7,3,10,0.3
9,5082.0,20160727,mr altig,1.0,8049.0,8415.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0735308869729018,0.0177838577291382,altig,,9,1,10,0.1
10,2900.0,20070131,mr alvarez,2.0,68.0,239.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0696424098113195,0.1666666666666665,alvarez,,11,0,11,0.0
11,3027.0,20070918,mr alvarez,8.0,6258.0,120.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0749708634494756,0.2100136984618408,alvarez,,10,0,10,0.0
12,3076.0,20071211,mr alvarez,6.0,563.0,35.333333333333336,0.3333333333333333,0.0,1.0,0.0,0.0,2.0,0.0828135116006517,0.0892255892255891,alvarez,,9,1,10,0.1
13,3188.0,20080625,mr alvarez,4.0,6961.0,779.2857142857143,1.0,2.0,4.0,0.0,0.0,6.0,0.048794227408951,0.0783072038840859,alvarez,,9,1,10,0.1
14,3477.0,20090923,mr alvarez,1.0,120.0,197.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0768794277894048,0.166666666666667,alvarez,,10,0,10,0.0
15,3504.0,20091104,mr alvarez,1.0,410.0,507.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0781176726068758,0.142857142857143,alvarez,,10,0,10,0.0
16,4096.0,20120620,mr alvarez,2.0,1623.0,300.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0820193887258525,0.159015942825728,alvarez,,11,1,12,0.08333333333333333
17,4260.0,20130130,mr alvarez,2.0,46.0,46.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0700777564840191,0.15,alvarez,,11,1,12,0.08333333333333333
18,4290.0,20130320,mr alvarez,2.0,1200.0,317.5,0.5,0.0,1.0,0.0,3.0,2.0,0.0938013546477429,0.0974264705882355,alvarez,,11,1,12,0.08333333333333333
19,4585.0,20140618,mr alvarez,2.0,953.0,365.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0720092974643879,0.0654761904761905,alvarez,,10,0,10,0.0
20,4800.0,20150429,mr alvarez,2.0,622.0,11.5,0.5,0.0,0.0,0.0,8.0,1.0,0.0662972907963524,0.117456896551724,alvarez,,10,0,10,0.0
21,5203.0,20170201,mr alvarez,1.0,751.0,125.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0529082126253681,0.125,alvarez,,10,0,10,0.0
