date,year,month,quarter,speaker,position,short_name,greeting,briefer_dummy,bucket_1,bucket_2,bucket_3,bucket_4,total,bucket1_perc,bucket2_perc,bucket3_perc,bucket4_perc,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote,Attendees,Male,Female,Percent.Male.Att,Percent.Female.Att,ATT.NOT.VOTERS,Female.Voters,Male.Voters,Female.NON.Voters,Male.NON.Voters,Number.of.Voters,percent_fem_voter,percent_male_voter,Number.of.NonVoters,percent_female_NONvoters,percent_male_NONvoters,Total.Voters,voter_dummy,fin_crisis,econ_crisis,target_upper,target_lower,target_mid,chair,b1_dummy,b2_dummy,b3_dummy,b4_dummy,fem_dummy,pol_dummy,epu,mpu,shawdow_i_rate
11/15/1994,1994,11,4,mr prell,economist,prell,Mr,1,19,11,4,17,51,0.37254902,0.215686275,0.078431373,0.333333333,24,14254,282,0.68,1,2,1,3,43,0.057673275,0.100252071,NA,11,1,12,0.083333333,51,43,8,0.843137255,0.156862745,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,0,0,0,1,0,NA,116.1364461,126.3685017,5.966025824
11/15/1994,1994,11,4,ms lovett,manager for domestic operations,lovett,Ms,1,19,11,4,17,51,0.37254902,0.215686275,0.078431373,0.333333333,6,432,40.16666667,1,0,0,0,2,0,0.057673275,0.116161616,NA,11,1,12,0.083333333,51,43,8,0.843137255,0.156862745,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,0,0,0,1,1,NA,116.1364461,126.3685017,5.966025824
11/15/1994,1994,11,4,mr fisher,manager for foreign operations,fisher,Mr,1,19,11,4,17,51,0.37254902,0.215686275,0.078431373,0.333333333,14,7152,155.9333333,1,0,1,0,2,11,0.057673275,0.060899452,NA,11,1,12,0.083333333,51,43,8,0.843137255,0.156862745,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,0,0,0,1,0,NA,116.1364461,126.3685017,5.966025824
11/15/1994,1994,11,4,mr kohn,president,kohn,Mr,1,19,11,4,17,51,0.37254902,0.215686275,0.078431373,0.333333333,10,2450,976.2,0.9,0,0,0,2,5,0.057673275,0.107034256,NA,11,1,12,0.083333333,51,43,8,0.843137255,0.156862745,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,1,0,0,0,0,NA,116.1364461,126.3685017,5.966025824
12/20/1994,1994,12,4,mr fisher,manager for foreign operations,fisher,Mr,1,19,8,4,20,51,0.37254902,0.156862745,0.078431373,0.392156863,2,578,76,1,0,0,0,3,2,0.034543084,0.155,NA,11,1,12,0.083333333,51,45,6,0.882352941,0.117647059,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,0,0,0,1,0,NA,87.64626396,86.43605695,7.116965918
12/20/1994,1994,12,4,mr truman,economist,truman,Mr,1,19,8,4,20,51,0.37254902,0.156862745,0.078431373,0.392156863,4,2118,171.5,1,0,0,1,4,7,0.034543084,0.052493324,NA,11,1,12,0.083333333,51,45,6,0.882352941,0.117647059,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,0,0,0,1,0,NA,87.64626396,86.43605695,7.116965918
12/20/1994,1994,12,4,ms lovett,manager for domestic operations,lovett,Ms,1,19,8,4,20,51,0.37254902,0.156862745,0.078431373,0.392156863,3,1686,66.33333333,0.333333333,0,0,0,3,3,0.034543084,0.177350427,NA,11,1,12,0.083333333,51,45,6,0.882352941,0.117647059,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,0,0,0,1,1,NA,87.64626396,86.43605695,7.116965918
12/20/1994,1994,12,4,mr prell,economist,prell,Mr,1,19,8,4,20,51,0.37254902,0.156862745,0.078431373,0.392156863,14,8777,509.1428571,1,0,1,0,3,18,0.034543084,0.020494632,NA,11,1,12,0.083333333,51,45,6,0.882352941,0.117647059,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,0,0,0,1,0,NA,87.64626396,86.43605695,7.116965918
12/20/1994,1994,12,4,mr kohn,president,kohn,Mr,1,19,8,4,20,51,0.37254902,0.156862745,0.078431373,0.392156863,3,55,3168.333333,1,0,0,0,3,0,0.034543084,0,NA,11,1,12,0.083333333,51,45,6,0.882352941,0.117647059,39,2,10,0,0,12,0.166666667,0.833333333,0,NA,NA,12,0,0,0,NA,NA,NA,greenspan,1,0,0,0,0,NA,87.64626396,86.43605695,7.116965918
2/4/1994,1994,2,1,mr kohn,secretary and economist,kohn,Mr,1,17,9,4,22,52,0.326923077,0.173076923,0.076923077,0.423076923,29,8619,400.516129,0.967741935,1,2,3,15,7,0.042640351,0.055180683,NA,10,0,10,0,52,47,5,0.903846154,0.096153846,42,1,9,0,0,10,0.1,0.9,0,NA,NA,10,0,0,0,NA,NA,NA,greenspan,0,0,0,1,0,NA,77.52547059,65.79154812,3.428679226
