,speaker,date,speak_count,speaker_unique
0,CHAIRMAN GREENSPAN,19940204,206,GREENSPAN
1,MR KELLEY,19940204,14,KELLEY
2,MR BERNARDS,19940204,1,BERNARDS
3,MR JORDAN,19940204,20,JORDAN
4,MR TRUMAN,19940204,4,TRUMAN
5,VICE CHAIRMAN MCDONOUGH,19940204,11,MCDONOUGH
6,MR LINDSEY,19940204,44,LINDSEY
7,MR FISHER,19940204,2,FISHER
8,MS LOVETT,19940204,11,LOVETT
9,MR FORRESTAL,19940204,10,FORRESTAL
10,MR SYRON,19940204,28,SYRON
11,MR PRELL,19940204,38,PRELL
12,MR HOOPER,19940204,3,HOOPER
13,MR STOCKTON,19940204,1,STOCKTON
14,MR PARRY,19940204,14,PARRY
15,MR KOHN,19940204,29,KOHN
16,MR BOEHNE,19940204,15,BOEHNE
17,MR LAWARE,19940204,10,LAWARE
18,MS PHILLIPS,19940204,10,PHILLIPS
19,MR KEEHN,19940204,11,KEEHN
20,MR MCTEER,19940204,7,MCTEER
21,MR HOENIG,19940204,6,HOENIG
22,MR BROADDUS,19940204,6,BROADDUS
23,MR STERN,19940204,6,STERN
24,MR MELZER,19940204,18,MELZER
25,MR MATTINGLY,19940204,3,MATTINGLY
26,MR COYNE,19940204,2,COYNE
27,MR LAWAREMR LINDSEYI,19940204,1,LINDSEYI
28,MR BERNARD,19940204,7,BERNARD
29,IICHAIRMAN GREENSPAN,19940204,1,GREENSPAN
30,MR BERNARDC,19940204,2,BERNARDC
31,MR DAVIS,19940204,1,DAVIS
32,CHAIRMAN GREENSPAN,19940322,106,GREENSPAN
33,MS MINEHAN,19940322,8,MINEHAN
34,VICE CHAIRMAN MCDONOUGH,19940322,12,MCDONOUGH
35,MR FISHER,19940322,3,FISHER
36,MR LINDSEY,19940322,20,LINDSEY
37,MS LOVETT,19940322,2,LOVETT
38,MR TRUMAN,19940322,23,TRUMAN
39,MR FORRESTAL,19940322,5,FORRESTAL
40,MR JORDAN,19940322,14,JORDAN
41,MR BROADDUS,19940322,7,BROADDUS
42,MR PARRY,19940322,15,PARRY
43,MR HOENIG,19940322,4,HOENIG
44,MR MCTEER,19940322,8,MCTEER
45,MR BOEHNE,19940322,8,BOEHNE
46,MR LAWARE,19940322,4,LAWARE
47,CHAIRMAN GREENSPANMR LINDSEY,19940322,1,LINDSEY
48,XMR MCTEER,19940322,1,MCTEER
49,MR PRELL,19940322,9,PRELL
50,MR KEEHN,19940322,3,KEEHN
