,speaker,date,speak_count,speaker_unique,speak_length
0,CHAIRMAN GREENSPAN,19940204,206,GREENSPAN,38891
1,MR KELLEY,19940204,14,KELLEY,4666
2,MR BERNARDS,19940204,1,BERNARDS,681
3,MR JORDAN,19940204,20,JORDAN,12667
4,MR TRUMAN,19940204,4,TRUMAN,1748
5,VICE CHAIRMAN MCDONOUGH,19940204,11,MCDONOUGH,6821
6,MR LINDSEY,19940204,44,LINDSEY,13804
7,MR FISHER,19940204,2,FISHER,207
8,MS LOVETT,19940204,11,LOVETT,3564
9,MR FORRESTAL,19940204,10,FORRESTAL,7710
10,MR SYRON,19940204,28,SYRON,10104
11,MR PRELL,19940204,38,PRELL,16726
12,MR HOOPER,19940204,3,HOOPER,501
13,MR STOCKTON,19940204,1,STOCKTON,32
14,MR PARRY,19940204,14,PARRY,6219
15,MR KOHN,19940204,29,KOHN,8619
16,MR BOEHNE,19940204,15,BOEHNE,6135
17,MR LAWARE,19940204,10,LAWARE,2737
18,MS PHILLIPS,19940204,10,PHILLIPS,4156
19,MR KEEHN,19940204,11,KEEHN,6306
20,MR MCTEER,19940204,7,MCTEER,1782
21,MR HOENIG,19940204,6,HOENIG,3068
22,MR BROADDUS,19940204,6,BROADDUS,6447
23,MR STERN,19940204,6,STERN,3628
24,MR MELZER,19940204,18,MELZER,8683
25,MR MATTINGLY,19940204,3,MATTINGLY,241
26,MR COYNE,19940204,2,COYNE,111
27,MR LAWAREMR LINDSEYI,19940204,1,LINDSEYI,83
28,MR BERNARD,19940204,7,BERNARD,1663
29,IICHAIRMAN GREENSPAN,19940204,1,GREENSPAN,18
30,MR BERNARDC,19940204,2,BERNARDC,443
31,MR DAVIS,19940204,1,DAVIS,44
32,CHAIRMAN GREENSPAN,19940322,106,GREENSPAN,30623
33,MS MINEHAN,19940322,8,MINEHAN,5702
34,VICE CHAIRMAN MCDONOUGH,19940322,12,MCDONOUGH,13145
35,MR FISHER,19940322,3,FISHER,432
36,MR LINDSEY,19940322,20,LINDSEY,8882
37,MS LOVETT,19940322,2,LOVETT,35
38,MR TRUMAN,19940322,23,TRUMAN,13972
39,MR FORRESTAL,19940322,5,FORRESTAL,8104
40,MR JORDAN,19940322,14,JORDAN,13679
41,MR BROADDUS,19940322,7,BROADDUS,10555
42,MR PARRY,19940322,15,PARRY,7339
43,MR HOENIG,19940322,4,HOENIG,4598
44,MR MCTEER,19940322,8,MCTEER,4562
45,MR BOEHNE,19940322,8,BOEHNE,7173
46,MR LAWARE,19940322,4,LAWARE,4388
47,CHAIRMAN GREENSPANMR LINDSEY,19940322,1,LINDSEY,51
48,XMR MCTEER,19940322,1,MCTEER,143
49,MR PRELL,19940322,9,PRELL,6946
50,MR KEEHN,19940322,3,KEEHN,5783
51,MR STERN,19940322,3,STERN,4377
