,short_name,Position,date,voter_dum
0,greenspan,Chairman,19940204,1
1,mcdonough,Vice Chairman,19940204,1
2,broaddus,President,19940204,1
3,forrestal,President,19940204,1
4,jordan,President,19940204,1
5,kelley,Governor,19940204,1
6,laware,Governor,19940204,1
7,lindsey,Governor,19940204,1
8,parry,President,19940204,1
9,phillips,Governor,19940204,1
10,greenspan,Chairman,19940322,1
11,mcdonough,Vice Chairman,19940322,1
12,broaddus,President,19940322,1
13,forrestal,President,19940322,1
14,jordan,President,19940322,1
15,kelley,Governor,19940322,1
16,laware,Governor,19940322,1
17,lindsey,Governor,19940322,1
18,parry,President,19940322,1
19,phillips,Governor,19940322,1
20,greenspan,Chairman,19940517,1
21,mcdonough,Vice Chairman,19940517,1
22,broaddus,President,19940517,1
23,forrestal,President,19940517,1
24,jordan,President,19940517,1
25,kelley,Governor,19940517,1
26,laware,Governor,19940517,1
27,lindsey,Governor,19940517,1
28,parry,President,19940517,1
29,phillips,Governor,19940517,1
30,greenspan,Chairman,19940706,1
31,mcdonough,Vice Chairman,19940706,1
32,blinder,Governor,19940706,1
33,broaddus,President,19940706,1
34,forrestal,President,19940706,1
35,jordan,President,19940706,1
36,kelley,Governor,19940706,1
37,laware,Governor,19940706,1
38,lindsey,Governor,19940706,1
39,parry,Preisdent,19940706,1
40,phillips,Governor,19940706,1
41,greenspan,Chairman,19940816,1
42,mcdonough,Vice Chairman,19940816,1
43,blinder,Governor,19940816,1
44,broaddus,President,19940816,1
45,forrestal,President,19940816,1
46,jordan,President,19940816,1
47,kelley,Governor,19940816,1
48,laware,Governor,19940816,1
49,lindsey,Governor,19940816,1
50,parry,President,19940816,1
51,phillips,Governor,19940816,1
52,yellen,Governor,19940816,1
53,greenspan,Chairman,19940927,1
54,mcdonough,Vice Chairman,19940927,1
55,blinder,Governor,19940927,1
56,broaddus,President,19940927,1
57,forrestal,President,19940927,1
58,jordan,President,19940927,1
59,kelley,Governor,19940927,1
60,laware,Governor,19940927,1
61,lindsey,Governor,19940927,1
62,parry,President,19940927,1
63,phillips,Governor,19940927,1
64,yellen,Governor,19940927,1
65,greenspan,Chairman,19941115,1
66,mcdonough,Vice Chairman,19941115,1
67,blinder,Governor,19941115,1
68,broaddus,President,19941115,1
69,forrestal,President,19941115,1
70,jordan,President,19941115,1
71,kelley,Governor,19941115,1
72,laware,Governor,19941115,1
73,lindsey,Governor,19941115,1
74,parry,President,19941115,1
75,phillips,Governor,19941115,1
76,yellen,Governor,19941115,1
77,greenspan,Chairman,19941220,1
78,mcdonough,Vice Chairman,19941220,1
79,blinder,Governor,19941220,1
80,broaddus,President,19941220,1
81,forrestal,President,19941220,1
82,jordan,President,19941220,1
83,kelley,Governor,19941220,1
84,laware,Governor,19941220,1
85,lindsey,Governor,19941220,1
86,parry,President,19941220,1
87,phillips,Governor,19941220,1
88,yellen,Governor,19941220,1
89,greenspan,Chairman,19950201,1
90,mcdonough,Vice Chairman,19950201,1
91,blinder,Governor,19950201,1
92,hoenig,President,19950201,1
93,kelley,Governor,19950201,1
94,laware,Governor,19950201,1
95,lindsey,Governor,19950201,1
96,melzer,President,19950201,1
97,minehan,President,19950201,1
98,moskow,President,19950201,1
99,phillips,Governor,19950201,1
100,yellen,Governor,19950201,1
101,greenspan,Chairman,19950328,1
102,mcdonough,Vice Chairman,19950328,1
103,blinder,Governor,19950328,1
104,hoenig,President,19950328,1
105,kelley,Governor,19950328,1
106,lindsey,Governor,19950328,1
107,melzer,President,19950328,1
108,minehan,President,19950328,1
109,moskow,President,19950328,1
110,phillips,Governor,19950328,1
111,yellen,Governor,19950328,1
112,greenspan,Chairman,19950523,1
113,mcdonough,Vice Chairman,19950523,1
114,blinder,Governor,19950523,1
115,hoenig,President,19950523,1
116,kelley,Governor,19950523,1
117,lindsey,Governor,19950523,1
118,melzer,President,19950523,1
119,minehan,President,19950523,1
120,moskow,President,19950523,1
121,phillips,Governor,19950523,1
122,yellen,Governor,19950523,1
123,greenspan,Chairman,19950706,1
124,mcdonough,Vice Chairman,19950706,1
125,blinder,Governor,19950706,1
126,hoenig,President,19950706,1
127,kelley,Governor,19950706,1
128,lindsey,Governor,19950706,1
129,melzer,President,19950706,1
130,minehan,President,19950706,1
131,moskow,President,19950706,1
132,phillips,Governor,19950706,1
133,yellen,Governor,19950706,1
134,greenspan,Chairman,19950822,1
135,mcdonough,Vice Chairman,19950822,1
136,blinder,Governor,19950822,1
137,hoenig,President,19950822,1
138,kelley,Governor,19950822,1
139,lindsey,Governor,19950822,1
140,melzer,President,19950822,1
141,minehan,President,19950822,1
142,moskow,President,19950822,1
143,phillips,Governor,19950822,1
144,yellen,Governor,19950822,1
145,greenspan,Chairman,19950926,1
146,mcdonough,Vice Chairman,19950926,1
147,blinder,Governor,19950926,1
148,hoenig,President,19950926,1
149,kelley,Governor,19950926,1
150,lindsey,Governor,19950926,1
151,melzer,President,19950926,1
152,minehan,President,19950926,1
153,moskow,President,19950926,1
154,phillips,Governor,19950926,1
155,yellen,Governor,19950926,1
156,greenspan,Chairman,19951115,1
157,mcdonough,Vice Chairman,19951115,1
158,blinder,Governor,19951115,1
159,hoenig,President,19951115,1
160,kelley,President,19951115,1
161,lindsey,President,19951115,1
162,melzer,Governor,19951115,1
163,minehan,Governor,19951115,1
164,moskow,Governor,19951115,1
165,phillips,President,19951115,1
166,yellen,Governor,19951115,1
167,greenspan,Chairman,19951219,1
168,mcdonough,Vice Chairman,19951219,1
169,blinder,Governor,19951219,1
170,hoenig,President,19951219,1
171,kelley,President,19951219,1
172,lindsey,President,19951219,1
173,melzer,Governor,19951219,1
174,minehan,Governor,19951219,1
175,moskow,Governor,19951219,1
176,phillips,Governor,19951219,1
177,yellen,Governor,19951219,1
178,greenspan,Chairman,19960131,1
179,mcdonough,Vice Chairman,19960131,1
180,boehne,President,19960131,1
181,jordan,President,19960131,1
182,kelley,Governor,19960131,1
183,lindsey,Governor,19960131,1
184,mcteer,President,19960131,1
