total_words,num_statements,district,is_bank_president,speaker,date,disagreement_score,dissent_chair,num_speakers_in_meeting,year_month,unemployment_rate,year
1030,3,Dallas,True,MR FISHER,2006-01-31,0.1943157258707361,0.292798686772438,24,2006-01,4.949999999999999,2006
1173,2,Atlanta,True,MR GUYNN,2006-01-31,0.1587030195284229,0.3804607869174992,24,2006-01,4.94,2006
821,2,Kansas City,True,MR HOENIG,2006-01-31,0.0888862472862627,0.2702591446130438,24,2006-01,4.066666666666666,2006
870,4,Richmond,True,MR LACKER,2006-01-31,0.0964796546121922,0.2458870961399204,24,2006-01,4.8,2006
1028,2,Chicago,True,MR MOSKOW,2006-01-31,0.0863896494014999,0.2847510937413416,24,2006-01,5.12,2006
811,3,St. Louis,True,MR POOLE,2006-01-31,0.1832089696715083,0.2712011675196455,24,2006-01,5.05,2006
1226,3,Philadelphia,True,MR SANTOMERO,2006-01-31,0.1212939996636496,0.2450631928800959,24,2006-01,4.5,2006
601,2,Minneapolis,True,MR STERN,2006-01-31,0.1257338702173336,0.2942079974315421,24,2006-01,3.525,2006
1358,7,Boston,True,MS MINEHAN,2006-01-31,0.0687826061471137,0.2272285997626346,24,2006-01,4.4,2006
541,2,Cleveland,True,MS PIANALTO,2006-01-31,0.1277298032969731,0.2833395507999485,24,2006-01,5.75,2006
903,2,San Francisco,True,MS YELLEN,2006-01-31,0.0995842915045552,0.2766580048107435,24,2006-01,4.544444444444444,2006
1083,5,New York,True,VICE CHAIRMAN GEITHNER,2006-01-31,0.0871487707862762,0.2020719257621201,24,2006-01,4.8,2006
2806,13,Dallas,True,MR FISHER,2006-03-28,0.1377394157584834,0.6515937343301165,25,2006-03,4.75,2006
2008,5,Atlanta,True,MR GUYNN,2006-03-28,0.0669103312592563,0.6551982049355087,25,2006-03,4.76,2006
1308,4,Kansas City,True,MR HOENIG,2006-03-28,0.076885226725451,0.6731933957783558,25,2006-03,3.9,2006
1982,15,Richmond,True,MR LACKER,2006-03-28,0.0671543285626762,0.6900733833352477,25,2006-03,4.716666666666666,2006
2324,12,Chicago,True,MR MOSKOW,2006-03-28,0.045458344270863,0.6952364435077351,25,2006-03,4.96,2006
2539,12,St. Louis,True,MR POOLE,2006-03-28,0.0988127944454447,0.6807376726638648,25,2006-03,4.949999999999999,2006
1320,5,Minneapolis,True,MR STERN,2006-03-28,0.0566641122928129,0.6623696541212087,25,2006-03,3.4,2006
2968,14,Boston,True,MS MINEHAN,2006-03-28,0.0663318063769574,0.7060846326258707,25,2006-03,4.333333333333333,2006
1585,7,Cleveland,True,MS PIANALTO,2006-03-28,0.0640233774086826,0.6631179382025121,25,2006-03,5.55,2006
3440,9,San Francisco,True,MS YELLEN,2006-03-28,0.0838129834716671,0.7381665412253462,25,2006-03,4.444444444444445,2006
2667,7,New York,True,VICE CHAIRMAN GEITHNER,2006-03-28,0.0742900543348383,0.7224347684993218,25,2006-03,4.7,2006
2204,12,Dallas,True,MR FISHER,2006-05-10,0.135014558052295,0.201139754565212,25,2006-05,4.65,2006
1516,2,Atlanta,True,MR GUYNN,2006-05-10,0.0989101809194259,0.1617927319825921,25,2006-05,4.74,2006
940,6,Kansas City,True,MR HOENIG,2006-05-10,0.0787662200623172,0.1227157488690289,25,2006-05,3.8333333333333335,2006
1792,11,Richmond,True,MR LACKER,2006-05-10,0.0609507174338523,0.1105280226090993,25,2006-05,4.8,2006
1516,8,Chicago,True,MR MOSKOW,2006-05-10,0.0629595317417015,0.1212070339444371,25,2006-05,4.94,2006
2677,10,St. Louis,True,MR POOLE,2006-05-10,0.0810005173178393,0.1181628862075072,25,2006-05,5.0,2006
770,2,Minneapolis,True,MR STERN,2006-05-10,0.1050887904091234,0.1794150548847362,25,2006-05,3.35,2006
1575,12,Boston,True,MS MINEHAN,2006-05-10,0.0648747331357368,0.1174403155512675,25,2006-05,4.3500000000000005,2006
1182,3,Cleveland,True,MS PIANALTO,2006-05-10,0.0787777419358293,0.1359575691778725,25,2006-05,5.5,2006
1447,4,San Francisco,True,MS YELLEN,2006-05-10,0.0634356271204648,0.1323076437176037,25,2006-05,4.433333333333334,2006
1858,5,New York,True,VICE CHAIRMAN GEITHNER,2006-05-10,0.0902373974612903,0.1369746733482686,25,2006-05,4.6,2006
2594,13,Dallas,True,MR FISHER,2006-06-29,0.0852180445471136,0.6985772031445353,27,2006-06,4.55,2006
2045,3,Atlanta,True,MR GUYNN,2006-06-29,0.0792909544547399,0.7996719256352156,27,2006-06,4.76,2006
1118,3,Kansas City,True,MR HOENIG,2006-06-29,0.0807077985571662,0.7650334601140464,27,2006-06,3.8333333333333335,2006
3111,13,Richmond,True,MR LACKER,2006-06-29,0.0530497496272522,0.7763817920398127,27,2006-06,4.8500000000000005,2006
2191,9,Chicago,True,MR MOSKOW,2006-06-29,0.0725957504731009,0.7439947484099241,27,2006-06,4.94,2006
2788,9,St. Louis,True,MR POOLE,2006-06-29,0.1071168152747427,0.7537222251224766,27,2006-06,5.05,2006
926,2,Minneapolis,True,MR STERN,2006-06-29,0.0805020340380618,0.7838213916079717,27,2006-06,3.35,2006
2901,16,Boston,True,MS MINEHAN,2006-06-29,0.0540057874199697,0.7692483071439342,27,2006-06,4.4,2006
1015,3,Cleveland,True,MS PIANALTO,2006-06-29,0.0876057574946357,0.7712273497995046,27,2006-06,5.550000000000001,2006
1864,4,San Francisco,True,MS YELLEN,2006-06-29,0.0599923520609928,0.7646127229731406,27,2006-06,4.4,2006
2247,9,New York,True,VICE CHAIRMAN GEITHNER,2006-06-29,0.0625739054739925,0.7401458891016157,27,2006-06,4.6,2006
2806,6,Dallas,True,MR FISHER,2006-08-08,0.0883971179401423,0.1462522140364096,25,2006-08,4.45,2006
1782,3,Atlanta,True,MR GUYNN,2006-08-08,0.0786579339273017,0.1185614905657368,25,2006-08,4.68,2006
947,3,Kansas City,True,MR HOENIG,2006-08-08,0.085758780697712,0.1245631948258367,25,2006-08,3.783333333333333,2006
4105,4,Richmond,True,MR LACKER,2006-08-08,0.067093754972185,0.124419788936691,25,2006-08,4.833333333333333,2006
2264,8,Chicago,True,MR MOSKOW,2006-08-08,0.0389719423634413,0.0928514745156783,25,2006-08,4.98,2006
3425,5,Philadelphia,True,MR PLOSSER,2006-08-08,0.0554659332885528,0.1269248091896569,25,2006-08,4.366666666666666,2006
2169,7,St. Louis,True,MR POOLE,2006-08-08,0.0654190579235275,0.1044133318925522,25,2006-08,5.1,2006
1189,3,Minneapolis,True,MR STERN,2006-08-08,0.0676123488860246,0.1126026251396298,25,2006-08,3.375,2006
3073,9,Boston,True,MS MINEHAN,2006-08-08,0.0402997540560795,0.0911778243695162,25,2006-08,4.416666666666667,2006
1571,4,Cleveland,True,MS PIANALTO,2006-08-08,0.068304857706429,0.1220753695877941,25,2006-08,5.6,2006
3259,4,San Francisco,True,MS YELLEN,2006-08-08,0.0585586745004249,0.1162709212215413,25,2006-08,4.322222222222222,2006
3170,8,New York,True,VICE CHAIRMAN GEITHNER,2006-08-08,0.0541218146852652,0.1103228186543402,25,2006-08,4.4,2006
1950,7,Dallas,True,MR FISHER,2006-09-20,0.0929881372290913,0.1481422990171609,25,2006-09,4.4,2006
1168,2,Atlanta,True,MR GUYNN,2006-09-20,0.1701750418556772,0.1932478926802248,25,2006-09,4.64,2006
969,2,Kansas City,True,MR HOENIG,2006-09-20,0.0765717193478802,0.1386644080632409,25,2006-09,3.75,2006
1820,17,Richmond,True,MR LACKER,2006-09-20,0.0538129463670676,0.137342963264078,25,2006-09,4.8,2006
1666,7,Chicago,True,MR MOSKOW,2006-09-20,0.0554846087364954,0.1227356070172038,25,2006-09,4.96,2006
3212,2,Philadelphia,True,MR PLOSSER,2006-09-20,0.084741785159874,0.1110740069875168,25,2006-09,4.266666666666667,2006
1448,7,St. Louis,True,MR POOLE,2006-09-20,0.0826301524850018,0.1362328390461722,25,2006-09,5.15,2006
801,4,Minneapolis,True,MR STERN,2006-09-20,0.077132636535684,0.1361911555646157,25,2006-09,3.425,2006
2532,10,Boston,True,MS MINEHAN,2006-09-20,0.071908869224738,0.1202881974130181,25,2006-09,4.416666666666667,2006
1219,2,Cleveland,True,MS PIANALTO,2006-09-20,0.0961701672153454,0.1806727032240876,25,2006-09,5.6,2006
1288,2,San Francisco,True,MS YELLEN,2006-09-20,0.0664138872358306,0.1559872204858233,25,2006-09,4.255555555555556,2006
1676,3,New York,True,VICE CHAIRMAN GEITHNER,2006-09-20,0.079897752242147,0.1113259740729748,25,2006-09,4.4,2006
3346,18,Dallas,True,MR FISHER,2006-10-25,0.081888510460677,0.1062362063534431,23,2006-10,4.35,2006
2372,8,Kansas City,True,MR HOENIG,2006-10-25,0.043068641351039,0.1057925863302001,23,2006-10,3.733333333333333,2006
3284,8,Richmond,True,MR LACKER,2006-10-25,0.0568014151602896,0.1173553526338099,23,2006-10,4.75,2006
2747,12,Chicago,True,MR MOSKOW,2006-10-25,0.0394394831548088,0.0993078435594051,23,2006-10,4.98,2006
4451,7,Philadelphia,True,MR PLOSSER,2006-10-25,0.0392347126188953,0.0867985607945103,23,2006-10,4.166666666666667,2006
3274,16,St. Louis,True,MR POOLE,2006-10-25,0.0786374896447357,0.11886685584575,23,2006-10,5.15,2006
1127,5,Minneapolis,True,MR STERN,2006-10-25,0.0725826204542088,0.130165916629124,23,2006-10,3.375,2006
3892,15,Boston,True,MS MINEHAN,2006-10-25,0.044916793932924,0.1059063026230654,23,2006-10,4.416666666666667,2006
1872,4,Cleveland,True,MS PIANALTO,2006-10-25,0.0542122289962516,0.1060783655416164,23,2006-10,5.6,2006
3288,6,San Francisco,True,MS YELLEN,2006-10-25,0.0430171456102409,0.1142676106511658,23,2006-10,4.199999999999999,2006
2721,15,New York,True,VICE CHAIRMAN GEITHNER,2006-10-25,0.0625217319009955,0.1063475541484439,23,2006-10,4.3,2006
2139,7,Dallas,True,MR FISHER,2006-12-12,0.1444736003281918,0.6787792051014085,26,2006-12,4.3,2006
1039,6,Kansas City,True,MR HOENIG,2006-12-12,0.092140895928737,0.6722311198467827,26,2006-12,3.6166666666666663,2006
1351,8,Richmond,True,MR LACKER,2006-12-12,0.0579685178976995,0.7222919352265667,26,2006-12,4.633333333333334,2006
1649,4,Chicago,True,MR MOSKOW,2006-12-12,0.0759421800318482,0.7435359936278225,26,2006-12,4.96,2006
3011,7,Philadelphia,True,MR PLOSSER,2006-12-12,0.0653657955520654,0.6837341296316206,26,2006-12,4.033333333333333,2006
2076,7,St. Louis,True,MR POOLE,2006-12-12,0.0928718195472626,0.707568467724743,26,2006-12,5.1,2006
700,3,Minneapolis,True,MR STERN,2006-12-12,0.0795272043990419,0.6559135965990053,26,2006-12,3.35,2006
2039,13,Boston,True,MS MINEHAN,2006-12-12,0.0716048431408087,0.6940621677910271,26,2006-12,4.3500000000000005,2006
1244,5,Cleveland,True,MS PIANALTO,2006-12-12,0.0924766483558585,0.7159139081523409,26,2006-12,5.5,2006
1651,4,San Francisco,True,MS YELLEN,2006-12-12,0.0741561285988204,0.737990335882547,26,2006-12,4.122222222222223,2006
2181,16,New York,True,VICE CHAIRMAN GEITHNER,2006-12-12,0.0511665639871836,0.6884308257755672,26,2006-12,4.2,2006
1894,8,New York,True,MR DUDLEY,2007-01-31,0.2377015635420236,0.818204857077073,31,2007-01,4.2,2007
3750,19,Dallas,True,MR FISHER,2007-01-31,0.0987173803813558,0.6626029472633215,31,2007-01,4.25,2007
1999,10,Kansas City,True,MR HOENIG,2007-01-31,0.0572495222847757,0.6614429697053608,31,2007-01,3.5666666666666664,2007
