,Transcript,Attendees,Male,Female,date,Percent Male Att,Percent Female Att
0,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19760329_att.csv,19,19,0,19760329,1.0,0.0
1,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19760420_att.csv,50,48,2,19760420,0.96,0.04
2,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19760518_att.csv,48,45,3,19760518,0.9375,0.0625
3,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19760622_att.csv,48,44,4,19760622,0.9166666666666666,0.08333333333333333
4,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19760720_att.csv,46,44,2,19760720,0.9565217391304348,0.043478260869565216
5,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19760817_att.csv,48,46,2,19760817,0.9583333333333334,0.041666666666666664
6,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19760921_att.csv,47,45,2,19760921,0.9574468085106383,0.0425531914893617
7,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19761019_att.csv,48,46,2,19761019,0.9583333333333334,0.041666666666666664
8,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19761116_att.csv,47,45,2,19761116,0.9574468085106383,0.0425531914893617
9,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19761221_att.csv,52,51,1,19761221,0.9807692307692307,0.019230769230769232
10,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770118_att.csv,51,49,2,19770118,0.9607843137254902,0.0392156862745098
11,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770215_att.csv,49,47,2,19770215,0.9591836734693877,0.04081632653061224
12,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770315_att.csv,50,48,2,19770315,0.96,0.04
13,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770419_att.csv,48,46,2,19770419,0.9583333333333334,0.041666666666666664
14,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770517_att.csv,50,48,2,19770517,0.96,0.04
15,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770621_att.csv,49,47,2,19770621,0.9591836734693877,0.04081632653061224
16,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770719_att.csv,50,47,3,19770719,0.94,0.06
17,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770816_att.csv,47,45,2,19770816,0.9574468085106383,0.0425531914893617
18,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19770920_att.csv,49,46,3,19770920,0.9387755102040817,0.061224489795918366
