,Voter_transcript,date,Attendance_transcript,Attendees,Male,Female,Percent Male Att,Percent Female Att,ATT NOT VOTERS,Female Voters,Male Voters,Female NON Voters,Male NON Voters,Number of Voters,percent_fem_voter,percent_male_voter,Number of NonVoters,percent_female_NONvoters,percent_male_NONvoters
0,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19940204_voters.csv,19940204,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19940204_att.csv,52,47,5,0.903846153846154,0.0961538461538461,42,1,9,0,0,10,0.1,0.9,0,,
1,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19940322_voters.csv,19940322,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19940322_att.csv,48,42,6,0.875,0.125,38,1,9,0,0,10,0.1,0.9,0,,
2,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19940517_voters.csv,19940517,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19940517_att.csv,52,43,9,0.8269230769230769,0.173076923076923,42,1,9,0,0,10,0.1,0.9,0,,
3,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19940706_voters.csv,19940706,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19940706_att.csv,54,46,8,0.8518518518518519,0.1481481481481481,43,1,9,0,0,10,0.1,0.9,0,,
4,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19940816_voters.csv,19940816,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19940816_att.csv,51,44,7,0.8627450980392157,0.1372549019607843,39,2,10,0,0,12,0.16666666666666666,0.8333333333333334,0,,
5,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19940927_voters.csv,19940927,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19940927_att.csv,51,43,8,0.8431372549019608,0.1568627450980392,39,2,10,0,0,12,0.16666666666666666,0.8333333333333334,0,,
6,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19941115_voters.csv,19941115,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19941115_att.csv,51,43,8,0.8431372549019608,0.1568627450980392,39,2,10,0,0,12,0.16666666666666666,0.8333333333333334,0,,
7,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19941220_voters.csv,19941220,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19941220_att.csv,51,45,6,0.8823529411764706,0.1176470588235294,39,2,10,0,0,12,0.16666666666666666,0.8333333333333334,0,,
8,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19950201_voters.csv,19950201,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19950201_att.csv,62,54,8,0.8709677419354839,0.1290322580645161,50,3,9,0,0,12,0.25,0.75,0,,
9,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19950328_voters.csv,19950328,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19950328_att.csv,49,43,6,0.8775510204081632,0.1224489795918367,38,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
